fusion_pair,found_in
Ing3::Nosip,ctrl_only
Lmntd1::Anxa1,ctrl_only
Lmntd1::Kras,ctrl_only
Maco1::Rhd,ctrl_only
Map1a::Gm20400,ctrl_only
Map1a::Slco1a6,ctrl_only
Mecom::Def8,ctrl_only
Mmd::Ctnna2,ctrl_only
Mmd::Gm18582,ctrl_only
Mmd::Gm53768,ctrl_only
Nae1::1700082M22Rik,ctrl_only
Nae1::Gm33023,ctrl_only
Ninj2::Slc1a2,ctrl_only
Nlrc5::Gm31718,ctrl_only
Noct::Nap1l4,ctrl_only
Nsun2::Rab3gap1,ctrl_only
Or5b109::Gm53768,ctrl_only
Pla2g4e::Tmem87a,ctrl_only
Pou3f4::Tmem87a,ctrl_only
Pparg::Arl2bp,ctrl_only
Ppt1::Eftud2,ctrl_only
Ppt1::Gm74184,ctrl_only
Prkcz::Gm60481,ctrl_only
Psma2::Astl,ctrl_only
Rab31::Sdhaf3,ctrl_only
Rab3gap1::Rabgef1,ctrl_only
Rabgap1::Gm75176,ctrl_only
Rc3h1::Zbtb37,ctrl_only
Rock1::Strn4,ctrl_only
Rprd1a::Ing1,ctrl_only
Sap130::B930094E09Rik,ctrl_only
Sap130::Gm58914,ctrl_only
Setx::Dnajc3,ctrl_only
Sgip1::Gtpbp8,ctrl_only
Slc1a4::Stag2,ctrl_only
Slk::Gm19557,ctrl_only
Smim36::Gm18582,ctrl_only
Smim36::Gm53768,ctrl_only
Spidr::Akap14,ctrl_only
Srsf6::Cd209c,ctrl_only
Stk35::Gm39933,ctrl_only
Tedc1::Dlgap1,ctrl_only
Tedc1::Gm18564,ctrl_only
Tedc1::Gm41609,ctrl_only
Tedc1::Prdm9,ctrl_only
Thbs3::Gatd3a,ctrl_only
Thsd4::Adarb2,ctrl_only
Thtpa::Ftsj1,ctrl_only
Tia1::Snrpg,ctrl_only
Trav6d-4::5033405D04Rik,ctrl_only
Tyms::Gm42450,ctrl_only
Usp34::Bag6,ctrl_only
Usp37::Nifk,ctrl_only
Vmn1r168::Gdap2,ctrl_only
Wdr12::Pms1,ctrl_only
Zfp990::Gm13683,ctrl_only
Znrf3::Ankrd48,ctrl_only
Znrf3::Pcbp2,ctrl_only
1500015L24Rik::A930015D03Rik,shared
1700018A04Rik::Anxa1,shared
1700024G13Rik::Baiap2l1,shared
2610020C07Rik::Tnfrsf17,shared
4930459C07Rik::Slc1a2,shared
4933406J10Rik::Baiap2l1,shared
5730522E02Rik::Sord,shared
A930015D03Rik::Igkv14-134-1,shared
A930015D03Rik::Igkv17-134,shared
Acot7::Nphp4,shared
Agap3::Gm43827,shared
Ahctf1::Gm31668,shared
Anxa1::Gm69065,shared
Ar::Def8,shared
Arl10::Paip1,shared
Asap1::Cyrib,shared
Atg4b::Gm10550,shared
Atrn::Dus1l,shared
Axl::Cyp2s1,shared
C730002L08Rik::Anxa1,shared
Capza2::Capza2,shared
Ccndbp1::Slf2,shared
Cdc27::Itgb3,shared
Cdh13::Cdh13,shared
Cdh13::Hsbp1,shared
Cep89::Slc7a9,shared
Chd2::Gm44739,shared
D830032E09Rik::Akap14,shared
Def8::Gm70116,shared
Dnajb6::Ube3c,shared
Dnajc17::Ppp1r14d,shared
Efcab2::Gm53768,shared
Efcab2::Hsp90aa1,shared
Epc2::Epc2,shared
Ewsr1::Nipsnap1,shared
Ezh2::Gm68113,shared
Fbxw2::Def8,shared
Gbp9::Gbp4,shared
Gemin5::Gm45883,shared
Gm11320::Rnf34,shared
Gm14408::Gm14405,shared
Gm20457::Chrna7,shared
Gm24212::Anxa1,shared
Gm26826::Gm15270,shared
Gm29649::Tox4,shared
Gm30286::Dus1l,shared
Gm31955::Ly6e,shared
Gm32247::Gm55489,shared
Gm33887::Gm6728,shared
Gm41672::Anxa1,shared
Gm45883::Efcab2,shared
Gm45883::Smim36,shared
Gm45957::Igkv1-133,shared
Gm46013::Zfp869,shared
Gm47990::Bmp6,shared
Gm50039::Gm38312,shared
Gm58379::Rnf34,shared
Gm6015::Rnf34,shared
Gm60671::Anxa1,shared
Gm61346::Gm55489,shared
